crop_type,soil_ph,relative_humidity_pct,air_temperature_c,growth_stage,Target_Nutrient,Form,Fertilizer
maize,5.76,24,33.9,vegetative,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,6.17,56,20.3,vegetative,Nitrogen,Granular,Urea (46% N)
maize,6.17,56,20.3,vegetative,Phosphorus & N,Granular,DAP (18-46-0)
maize,6.17,56,20.3,vegetative,Potassium,Granular,MOP (KCl)
maize,6.17,56,20.3,vegetative,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,6.17,56,20.3,vegetative,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,6.17,56,20.3,vegetative,Zinc,Granular/foliar,Zinc Sulfate
maize,6.17,56,20.3,vegetative,Calcium & Sulfur,Granular,Gypsum
maize,6.17,56,20.3,vegetative,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,6.17,56,20.3,vegetative,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,6.17,56,20.3,vegetative,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,5.7,61,19.2,vegetative,Nitrogen,Granular,Urea (46% N)
maize,5.7,61,19.2,vegetative,Phosphorus & N,Granular,DAP (18-46-0)
maize,5.7,61,19.2,vegetative,Potassium,Granular,MOP (KCl)
maize,5.7,61,19.2,vegetative,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,5.7,61,19.2,vegetative,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,5.7,61,19.2,vegetative,Zinc,Granular/foliar,Zinc Sulfate
maize,5.7,61,19.2,vegetative,Calcium & Sulfur,Granular,Gypsum
maize,5.7,61,19.2,vegetative,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,5.7,61,19.2,vegetative,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,5.7,61,19.2,vegetative,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,6.72,49,36.0,vegetative,Nitrogen,Granular,Urea (46% N)
maize,6.72,49,36.0,vegetative,Phosphorus & N,Granular,DAP (18-46-0)
maize,6.72,49,36.0,vegetative,Potassium,Granular,MOP (KCl)
maize,6.72,49,36.0,vegetative,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,6.72,49,36.0,vegetative,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,6.72,49,36.0,vegetative,Zinc,Granular/foliar,Zinc Sulfate
maize,6.72,49,36.0,vegetative,Calcium & Sulfur,Granular,Gypsum
maize,6.72,49,36.0,vegetative,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,6.72,49,36.0,vegetative,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,6.72,49,36.0,vegetative,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,6.8,63,24.9,vegetative,Nitrogen,Granular,Urea (46% N)
maize,6.8,63,24.9,vegetative,Phosphorus & N,Granular,DAP (18-46-0)
maize,6.8,63,24.9,vegetative,Potassium,Granular,MOP (KCl)
maize,6.8,63,24.9,vegetative,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,6.8,63,24.9,vegetative,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,6.8,63,24.9,vegetative,Zinc,Granular/foliar,Zinc Sulfate
maize,6.8,63,24.9,vegetative,Calcium & Sulfur,Granular,Gypsum
maize,6.8,63,24.9,vegetative,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,6.8,63,24.9,vegetative,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,6.8,63,24.9,vegetative,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,7.48,61,39.5,vegetative,Nitrogen,Granular,Urea (46% N)
maize,7.48,61,39.5,vegetative,Phosphorus & N,Granular,DAP (18-46-0)
maize,7.48,61,39.5,vegetative,Potassium,Granular,MOP (KCl)
maize,7.48,61,39.5,vegetative,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,7.48,61,39.5,vegetative,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,7.48,61,39.5,vegetative,Zinc,Granular/foliar,Zinc Sulfate
maize,7.48,61,39.5,vegetative,Calcium & Sulfur,Granular,Gypsum
maize,7.48,61,39.5,vegetative,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,7.48,61,39.5,vegetative,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,7.48,61,39.5,vegetative,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,6.34,54,28.4,vegetative,Nitrogen,Granular,Urea (46% N)
maize,6.34,54,28.4,vegetative,Phosphorus & N,Granular,DAP (18-46-0)
maize,6.34,54,28.4,vegetative,Potassium,Granular,MOP (KCl)
maize,6.34,54,28.4,vegetative,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,6.34,54,28.4,vegetative,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,6.34,54,28.4,vegetative,Zinc,Granular/foliar,Zinc Sulfate
maize,6.34,54,28.4,vegetative,Calcium & Sulfur,Granular,Gypsum
maize,6.34,54,28.4,vegetative,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,6.34,54,28.4,vegetative,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,6.34,54,28.4,vegetative,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,6.67,91,15.0,vegetative,Nitrogen,Granular,Urea (46% N)
maize,6.67,91,15.0,vegetative,Phosphorus & N,Granular,DAP (18-46-0)
maize,6.67,91,15.0,vegetative,Potassium,Granular,MOP (KCl)
maize,6.67,91,15.0,vegetative,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,6.67,91,15.0,vegetative,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,6.67,91,15.0,vegetative,Zinc,Granular/foliar,Zinc Sulfate
maize,6.67,91,15.0,vegetative,Calcium & Sulfur,Granular,Gypsum
maize,6.67,91,15.0,vegetative,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,6.67,91,15.0,vegetative,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,6.67,91,15.0,vegetative,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,5.0,57,33.0,flowering,Nitrogen,Granular,Urea (46% N)
maize,5.0,57,33.0,flowering,Phosphorus & N,Granular,DAP (18-46-0)
maize,5.0,57,33.0,flowering,Potassium,Granular,MOP (KCl)
maize,5.0,57,33.0,flowering,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,5.0,57,33.0,flowering,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,5.0,57,33.0,flowering,Zinc,Granular/foliar,Zinc Sulfate
maize,5.0,57,33.0,flowering,Calcium & Sulfur,Granular,Gypsum
maize,5.0,57,33.0,flowering,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,5.0,57,33.0,flowering,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,5.0,57,33.0,flowering,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,5.55,48,26.2,flowering,Nitrogen,Granular,Urea (46% N)
maize,5.55,48,26.2,flowering,Phosphorus & N,Granular,DAP (18-46-0)
maize,5.55,48,26.2,flowering,Potassium,Granular,MOP (KCl)
maize,5.55,48,26.2,flowering,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,5.55,48,26.2,flowering,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,5.55,48,26.2,flowering,Zinc,Granular/foliar,Zinc Sulfate
maize,5.55,48,26.2,flowering,Calcium & Sulfur,Granular,Gypsum
maize,5.55,48,26.2,flowering,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,5.55,48,26.2,flowering,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,5.55,48,26.2,flowering,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,4.74,84,20.7,flowering,Nitrogen,Granular,Urea (46% N)
maize,4.74,84,20.7,flowering,Phosphorus & N,Granular,DAP (18-46-0)
maize,4.74,84,20.7,flowering,Potassium,Granular,MOP (KCl)
maize,4.74,84,20.7,flowering,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,4.74,84,20.7,flowering,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,4.74,84,20.7,flowering,Zinc,Granular/foliar,Zinc Sulfate
maize,4.74,84,20.7,flowering,Calcium & Sulfur,Granular,Gypsum
maize,4.74,84,20.7,flowering,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,4.74,84,20.7,flowering,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,4.74,84,20.7,flowering,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,7.22,65,23.3,vegetative,Nitrogen,Granular,Urea (46% N)
maize,7.22,65,23.3,vegetative,Phosphorus & N,Granular,DAP (18-46-0)
maize,7.22,65,23.3,vegetative,Potassium,Granular,MOP (KCl)
maize,7.22,65,23.3,vegetative,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,7.22,65,23.3,vegetative,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,7.22,65,23.3,vegetative,Zinc,Granular/foliar,Zinc Sulfate
maize,7.22,65,23.3,vegetative,Calcium & Sulfur,Granular,Gypsum
maize,7.22,65,23.3,vegetative,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,7.22,65,23.3,vegetative,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,7.22,65,23.3,vegetative,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,6.34,73,32.2,vegetative,Nitrogen,Granular,Urea (46% N)
maize,6.34,73,32.2,vegetative,Phosphorus & N,Granular,DAP (18-46-0)
maize,6.34,73,32.2,vegetative,Potassium,Granular,MOP (KCl)
maize,6.34,73,32.2,vegetative,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,6.34,73,32.2,vegetative,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,6.34,73,32.2,vegetative,Zinc,Granular/foliar,Zinc Sulfate
maize,6.34,73,32.2,vegetative,Calcium & Sulfur,Granular,Gypsum
maize,6.34,73,32.2,vegetative,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,6.34,73,32.2,vegetative,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,6.34,73,32.2,vegetative,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,7.66,77,33.3,vegetative,Nitrogen,Granular,Urea (46% N)
maize,7.66,77,33.3,vegetative,Phosphorus & N,Granular,DAP (18-46-0)
maize,7.66,77,33.3,vegetative,Potassium,Granular,MOP (KCl)
maize,7.66,77,33.3,vegetative,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,7.66,77,33.3,vegetative,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,7.66,77,33.3,vegetative,Zinc,Granular/foliar,Zinc Sulfate
maize,7.66,77,33.3,vegetative,Calcium & Sulfur,Granular,Gypsum
maize,7.66,77,33.3,vegetative,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,7.66,77,33.3,vegetative,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,7.66,77,33.3,vegetative,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,7.13,38,34.1,vegetative,Nitrogen,Granular,Urea (46% N)
maize,7.13,38,34.1,vegetative,Phosphorus & N,Granular,DAP (18-46-0)
maize,7.13,38,34.1,vegetative,Potassium,Granular,MOP (KCl)
maize,7.13,38,34.1,vegetative,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,7.13,38,34.1,vegetative,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,7.13,38,34.1,vegetative,Zinc,Granular/foliar,Zinc Sulfate
maize,7.13,38,34.1,vegetative,Calcium & Sulfur,Granular,Gypsum
maize,7.13,38,34.1,vegetative,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,7.13,38,34.1,vegetative,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,7.13,38,34.1,vegetative,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,6.51,78,36.6,vegetative,Nitrogen,Granular,Urea (46% N)
maize,6.51,78,36.6,vegetative,Phosphorus & N,Granular,DAP (18-46-0)
maize,6.51,78,36.6,vegetative,Potassium,Granular,MOP (KCl)
maize,6.51,78,36.6,vegetative,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,6.51,78,36.6,vegetative,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,6.51,78,36.6,vegetative,Zinc,Granular/foliar,Zinc Sulfate
maize,6.51,78,36.6,vegetative,Calcium & Sulfur,Granular,Gypsum
maize,6.51,78,36.6,vegetative,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,6.51,78,36.6,vegetative,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,6.51,78,36.6,vegetative,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,7.72,65,14.1,vegetative,Nitrogen,Granular,Urea (46% N)
maize,7.72,65,14.1,vegetative,Phosphorus & N,Granular,DAP (18-46-0)
maize,7.72,65,14.1,vegetative,Potassium,Granular,MOP (KCl)
maize,7.72,65,14.1,vegetative,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,7.72,65,14.1,vegetative,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,7.72,65,14.1,vegetative,Zinc,Granular/foliar,Zinc Sulfate
maize,7.72,65,14.1,vegetative,Calcium & Sulfur,Granular,Gypsum
maize,7.72,65,14.1,vegetative,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,7.72,65,14.1,vegetative,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,7.72,65,14.1,vegetative,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,7.32,55,19.1,vegetative,Nitrogen,Granular,Urea (46% N)
maize,7.32,55,19.1,vegetative,Phosphorus & N,Granular,DAP (18-46-0)
maize,7.32,55,19.1,vegetative,Potassium,Granular,MOP (KCl)
maize,7.32,55,19.1,vegetative,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,7.32,55,19.1,vegetative,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,7.32,55,19.1,vegetative,Zinc,Granular/foliar,Zinc Sulfate
maize,7.32,55,19.1,vegetative,Calcium & Sulfur,Granular,Gypsum
maize,7.32,55,19.1,vegetative,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,7.32,55,19.1,vegetative,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,7.32,55,19.1,vegetative,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,7.18,56,33.1,vegetative,Nitrogen,Granular,Urea (46% N)
maize,7.18,56,33.1,vegetative,Phosphorus & N,Granular,DAP (18-46-0)
maize,7.18,56,33.1,vegetative,Potassium,Granular,MOP (KCl)
maize,7.18,56,33.1,vegetative,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,7.18,56,33.1,vegetative,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,7.18,56,33.1,vegetative,Zinc,Granular/foliar,Zinc Sulfate
maize,7.18,56,33.1,vegetative,Calcium & Sulfur,Granular,Gypsum
maize,7.18,56,33.1,vegetative,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,7.18,56,33.1,vegetative,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,7.18,56,33.1,vegetative,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,7.21,80,40.5,flowering,Nitrogen,Granular,Urea (46% N)
maize,7.21,80,40.5,flowering,Phosphorus & N,Granular,DAP (18-46-0)
maize,7.21,80,40.5,flowering,Potassium,Granular,MOP (KCl)
maize,7.21,80,40.5,flowering,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,7.21,80,40.5,flowering,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,7.21,80,40.5,flowering,Zinc,Granular/foliar,Zinc Sulfate
maize,7.21,80,40.5,flowering,Calcium & Sulfur,Granular,Gypsum
maize,7.21,80,40.5,flowering,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,7.21,80,40.5,flowering,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,7.21,80,40.5,flowering,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,5.51,52,30.4,vegetative,Nitrogen,Granular,Urea (46% N)
maize,5.51,52,30.4,vegetative,Phosphorus & N,Granular,DAP (18-46-0)
maize,5.51,52,30.4,vegetative,Potassium,Granular,MOP (KCl)
maize,5.51,52,30.4,vegetative,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,5.51,52,30.4,vegetative,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,5.51,52,30.4,vegetative,Zinc,Granular/foliar,Zinc Sulfate
maize,5.51,52,30.4,vegetative,Calcium & Sulfur,Granular,Gypsum
maize,5.51,52,30.4,vegetative,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,5.51,52,30.4,vegetative,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,5.51,52,30.4,vegetative,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,5.94,56,31.6,vegetative,Nitrogen,Granular,Urea (46% N)
maize,5.94,56,31.6,vegetative,Phosphorus & N,Granular,DAP (18-46-0)
maize,5.94,56,31.6,vegetative,Potassium,Granular,MOP (KCl)
maize,5.94,56,31.6,vegetative,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,5.94,56,31.6,vegetative,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,5.94,56,31.6,vegetative,Zinc,Granular/foliar,Zinc Sulfate
maize,5.94,56,31.6,vegetative,Calcium & Sulfur,Granular,Gypsum
maize,5.94,56,31.6,vegetative,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,5.94,56,31.6,vegetative,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,5.94,56,31.6,vegetative,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,5.69,84,22.5,vegetative,Nitrogen,Granular,Urea (46% N)
maize,5.69,84,22.5,vegetative,Phosphorus & N,Granular,DAP (18-46-0)
maize,5.69,84,22.5,vegetative,Potassium,Granular,MOP (KCl)
maize,5.69,84,22.5,vegetative,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,5.69,84,22.5,vegetative,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,5.69,84,22.5,vegetative,Zinc,Granular/foliar,Zinc Sulfate
maize,5.69,84,22.5,vegetative,Calcium & Sulfur,Granular,Gypsum
maize,5.69,84,22.5,vegetative,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,5.69,84,22.5,vegetative,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,5.69,84,22.5,vegetative,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,4.93,55,25.3,vegetative,Nitrogen,Granular,Urea (46% N)
maize,4.93,55,25.3,vegetative,Phosphorus & N,Granular,DAP (18-46-0)
maize,4.93,55,25.3,vegetative,Potassium,Granular,MOP (KCl)
maize,4.93,55,25.3,vegetative,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,4.93,55,25.3,vegetative,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,4.93,55,25.3,vegetative,Zinc,Granular/foliar,Zinc Sulfate
maize,4.93,55,25.3,vegetative,Calcium & Sulfur,Granular,Gypsum
maize,4.93,55,25.3,vegetative,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,4.93,55,25.3,vegetative,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,4.93,55,25.3,vegetative,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,6.78,78,16.8,vegetative,Nitrogen,Granular,Urea (46% N)
maize,6.78,78,16.8,vegetative,Phosphorus & N,Granular,DAP (18-46-0)
maize,6.78,78,16.8,vegetative,Potassium,Granular,MOP (KCl)
maize,6.78,78,16.8,vegetative,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,6.78,78,16.8,vegetative,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,6.78,78,16.8,vegetative,Zinc,Granular/foliar,Zinc Sulfate
maize,6.78,78,16.8,vegetative,Calcium & Sulfur,Granular,Gypsum
maize,6.78,78,16.8,vegetative,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,6.78,78,16.8,vegetative,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,6.78,78,16.8,vegetative,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,6.58,75,21.1,flowering,Nitrogen,Granular,Urea (46% N)
maize,6.58,75,21.1,flowering,Phosphorus & N,Granular,DAP (18-46-0)
maize,6.58,75,21.1,flowering,Potassium,Granular,MOP (KCl)
maize,6.58,75,21.1,flowering,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,6.58,75,21.1,flowering,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,6.58,75,21.1,flowering,Zinc,Granular/foliar,Zinc Sulfate
maize,6.58,75,21.1,flowering,Calcium & Sulfur,Granular,Gypsum
maize,6.58,75,21.1,flowering,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,6.58,75,21.1,flowering,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,6.58,75,21.1,flowering,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,7.04,66,28.1,vegetative,Nitrogen,Granular,Urea (46% N)
maize,7.04,66,28.1,vegetative,Phosphorus & N,Granular,DAP (18-46-0)
maize,7.04,66,28.1,vegetative,Potassium,Granular,MOP (KCl)
maize,7.04,66,28.1,vegetative,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,7.04,66,28.1,vegetative,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,7.04,66,28.1,vegetative,Zinc,Granular/foliar,Zinc Sulfate
maize,7.04,66,28.1,vegetative,Calcium & Sulfur,Granular,Gypsum
maize,7.04,66,28.1,vegetative,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,7.04,66,28.1,vegetative,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,7.04,66,28.1,vegetative,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,6.24,46,32.5,vegetative,Nitrogen,Granular,Urea (46% N)
maize,6.24,46,32.5,vegetative,Phosphorus & N,Granular,DAP (18-46-0)
maize,6.24,46,32.5,vegetative,Potassium,Granular,MOP (KCl)
maize,6.24,46,32.5,vegetative,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,6.24,46,32.5,vegetative,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,6.24,46,32.5,vegetative,Zinc,Granular/foliar,Zinc Sulfate
maize,6.24,46,32.5,vegetative,Calcium & Sulfur,Granular,Gypsum
maize,6.24,46,32.5,vegetative,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,6.24,46,32.5,vegetative,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,6.24,46,32.5,vegetative,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,6.75,78,32.6,vegetative,Nitrogen,Granular,Urea (46% N)
maize,6.75,78,32.6,vegetative,Phosphorus & N,Granular,DAP (18-46-0)
maize,6.75,78,32.6,vegetative,Potassium,Granular,MOP (KCl)
maize,6.75,78,32.6,vegetative,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,6.75,78,32.6,vegetative,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,6.75,78,32.6,vegetative,Zinc,Granular/foliar,Zinc Sulfate
maize,6.75,78,32.6,vegetative,Calcium & Sulfur,Granular,Gypsum
maize,6.75,78,32.6,vegetative,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,6.75,78,32.6,vegetative,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,6.75,78,32.6,vegetative,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,5.69,69,27.6,vegetative,Nitrogen,Granular,Urea (46% N)
maize,5.69,69,27.6,vegetative,Phosphorus & N,Granular,DAP (18-46-0)
maize,5.69,69,27.6,vegetative,Potassium,Granular,MOP (KCl)
maize,5.69,69,27.6,vegetative,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,5.69,69,27.6,vegetative,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,5.69,69,27.6,vegetative,Zinc,Granular/foliar,Zinc Sulfate
maize,5.69,69,27.6,vegetative,Calcium & Sulfur,Granular,Gypsum
maize,5.69,69,27.6,vegetative,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,5.69,69,27.6,vegetative,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,5.69,69,27.6,vegetative,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,5.45,50,30.3,vegetative,Nitrogen,Granular,Urea (46% N)
maize,5.45,50,30.3,vegetative,Phosphorus & N,Granular,DAP (18-46-0)
maize,5.45,50,30.3,vegetative,Potassium,Granular,MOP (KCl)
maize,5.45,50,30.3,vegetative,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,5.45,50,30.3,vegetative,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,5.45,50,30.3,vegetative,Zinc,Granular/foliar,Zinc Sulfate
maize,5.45,50,30.3,vegetative,Calcium & Sulfur,Granular,Gypsum
maize,5.45,50,30.3,vegetative,Balanced NPK,Granular,"Compound NPK (e.g., 16-16-16)"
maize,5.45,50,30.3,vegetative,Slow release nutrients,Organic bulk,Farm Yard Manure / Compost
maize,5.45,50,30.3,vegetative,Micronutrients,Liquid (foliar),"Foliar Micronutrient mix (Fe,Zn,Mn)"
maize,6.9,27,22.7,vegetative,Nitrogen,Granular,Urea (46% N)
maize,6.9,27,22.7,vegetative,Phosphorus & N,Granular,DAP (18-46-0)
maize,6.9,27,22.7,vegetative,Potassium,Granular,MOP (KCl)
maize,6.9,27,22.7,vegetative,Nitrogen,Granular,Ammonium Nitrate / CAN
maize,6.9,27,22.7,vegetative,Phosphorus & N,Granular,Monoammonium Phosphate (MAP 11-52-0)
maize,6.9,27,22.7,vegetative,Zinc,Granular/foliar,Zinc Sulfate
